timestamp,mcpm1x0,mcpm2x5,mcpm4x0,mcpm10,mcpm2x5_aqi,mcpm10_aqi,ncpm1x0,ncpm2x5,ncpm4x0,ncpm10,latitude,longitude,serial
2025-05-15 12:56:03,2,2,2,2,8,2,22,23,23,23,-16.53967789,-68.06652807,81432432054
2025-05-15 13:11:03,2,2,2,2,8,2,18,18,18,18,-16.53967789,-68.06652807,81432432054
2025-05-15 13:26:03,1,1,1,1,4,1,15,15,15,15,-16.53967789,-68.06652807,81432432054
2025-05-15 13:41:03,1,1,1,1,4,1,14,14,14,14,-16.53967789,-68.06652807,81432432054
2025-05-15 13:56:03,1,1,1,1,4,1,15,15,15,15,-16.53967789,-68.06652807,81432432054
2025-05-15 14:11:03,1,1,1,1,4,1,15,15,15,15,-16.53967789,-68.06652807,81432432054
2025-05-15 14:26:03,1,1,1,1,4,1,14,14,14,14,-16.53967789,-68.06652807,81432432054
2025-05-15 14:41:03,1,1,1,1,4,1,14,14,14,14,-16.53967789,-68.06652807,81432432054
2025-05-15 14:56:03,1,1,1,1,4,1,14,14,14,14,-16.53967789,-68.06652807,81432432054
2025-05-15 15:11:03,1,1,1,1,4,1,14,14,14,14,-16.53967789,-68.06652807,81432432054
2025-05-15 15:26:03,1,1,1,1,4,1,15,15,15,15,-16.53967789,-68.06652807,81432432054
2025-05-15 15:41:03,1,1,1,1,4,1,13,14,14,14,-16.53967789,-68.06652807,81432432054
2025-05-15 15:56:03,1,2,2,2,8,2,17,17,17,17,-16.53967789,-68.06652807,81432432054
2025-05-15 16:11:03,1,1,1,1,4,1,13,13,13,13,-16.53967789,-68.06652807,81432432054
2025-05-15 16:26:03,1,1,1,1,4,1,13,13,13,13,-16.53967789,-68.06652807,81432432054
2025-05-15 16:41:03,1,1,1,1,4,1,13,14,14,14,-16.53967789,-68.06652807,81432432054
2025-05-15 16:56:03,1,1,1,1,4,1,14,14,14,14,-16.53967789,-68.06652807,81432432054
2025-05-15 17:11:03,1,1,1,1,4,1,13,13,13,13,-16.53967789,-68.06652807,81432432054
2025-05-15 17:26:03,1,1,1,1,4,1,14,14,14,14,-16.53967789,-68.06652807,81432432054
2025-05-15 17:41:03,1,1,1,1,4,1,14,14,14,14,-16.53967789,-68.06652807,81432432054
2025-05-15 17:56:03,1,1,1,1,4,1,15,15,15,15,-16.53967789,-68.06652807,81432432054
2025-05-15 18:11:03,2,2,2,2,8,2,18,18,18,18,-16.53967789,-68.06652807,81432432054
2025-05-15 18:26:03,2,2,2,2,8,2,18,18,18,18,-16.53967789,-68.06652807,81432432054
2025-05-15 18:41:03,2,2,2,2,8,2,19,19,19,19,-16.53967789,-68.06652807,81432432054
2025-05-15 18:56:03,2,2,2,2,8,2,19,19,19,19,-16.53967789,-68.06652807,81432432054
2025-05-15 19:11:03,2,2,2,2,8,2,18,18,18,18,-16.53967789,-68.06652807,81432432054
2025-05-15 19:26:03,2,2,2,2,8,2,18,18,18,18,-16.53967789,-68.06652807,81432432054
2025-05-15 19:41:03,2,2,2,2,8,2,18,18,18,18,-16.53967789,-68.06652807,81432432054
2025-05-15 19:56:03,2,2,2,2,8,2,18,18,18,18,-16.53967789,-68.06652807,81432432054
2025-05-15 20:11:03,1,2,2,2,8,2,17,17,17,17,-16.53967789,-68.06652807,81432432054
2025-05-15 20:26:03,2,2,2,2,8,2,17,17,17,17,-16.53967789,-68.06652807,81432432054
2025-05-15 20:41:03,1,2,2,2,8,2,17,17,17,17,-16.53967789,-68.06652807,81432432054
2025-05-15 20:56:03,1,2,2,2,8,2,17,17,17,17,-16.53967789,-68.06652807,81432432054
2025-05-15 21:11:03,1,2,2,2,8,2,17,17,17,17,-16.53967789,-68.06652807,81432432054
2025-05-15 21:26:03,1,2,2,2,8,2,16,16,16,16,-16.53967789,-68.06652807,81432432054
2025-05-15 21:41:03,2,2,2,2,8,2,18,18,18,18,-16.53967789,-68.06652807,81432432054
2025-05-15 21:56:03,2,2,2,2,8,2,19,19,19,19,-16.53967789,-68.06652807,81432432054
2025-05-15 22:11:03,2,2,2,2,8,2,19,19,19,19,-16.53967789,-68.06652807,81432432054
2025-05-15 22:26:03,2,2,2,2,8,2,19,19,19,19,-16.53967789,-68.06652807,81432432054
2025-05-15 22:41:03,2,2,2,2,8,2,19,19,19,19,-16.53967789,-68.06652807,81432432054
2025-05-15 22:56:03,2,2,2,2,8,2,20,20,20,20,-16.53967789,-68.06652807,81432432054
2025-05-15 23:11:03,2,2,2,2,8,2,19,19,19,19,-16.53967789,-68.06652807,81432432054
2025-05-15 23:26:03,2,2,2,2,8,2,19,19,19,19,-16.53967789,-68.06652807,81432432054
2025-05-15 23:41:03,2,2,2,2,8,2,20,20,20,20,-16.53967789,-68.06652807,81432432054
2025-05-15 23:56:03,2,2,2,2,8,2,19,19,19,19,-16.53967789,-68.06652807,81432432054
2025-05-16 00:11:03,2,2,2,2,8,2,19,19,19,19,-16.53967789,-68.06652807,81432432054
2025-05-16 00:26:03,2,2,2,2,8,2,18,18,18,18,-16.53967789,-68.06652807,81432432054
2025-05-16 00:41:03,2,2,2,2,8,2,18,18,18,18,-16.53967789,-68.06652807,81432432054
2025-05-16 00:56:03,2,2,2,2,8,2,18,18,18,18,-16.53967789,-68.06652807,81432432054
2025-05-16 01:11:03,1,2,2,2,8,2,17,17,17,17,-16.53967789,-68.06652807,81432432054
2025-05-16 01:26:03,1,2,2,2,8,2,17,17,17,17,-16.53967789,-68.06652807,81432432054
2025-05-16 01:41:03,1,2,2,2,8,2,16,16,16,16,-16.53967789,-68.06652807,81432432054
2025-05-16 01:56:03,1,1,1,1,4,1,16,16,16,16,-16.53967789,-68.06652807,81432432054
2025-05-16 02:11:03,1,1,1,1,4,1,15,15,15,15,-16.53967789,-68.06652807,81432432054
2025-05-16 02:26:03,1,1,1,1,4,1,16,16,16,16,-16.53967789,-68.06652807,81432432054
2025-05-16 02:41:03,1,1,1,1,4,1,16,16,16,16,-16.53967789,-68.06652807,81432432054
2025-05-16 02:56:03,1,1,1,1,4,1,16,16,16,16,-16.53967789,-68.06652807,81432432054
2025-05-16 03:11:03,1,1,1,1,4,1,15,15,15,15,-16.53967789,-68.06652807,81432432054
2025-05-16 03:26:03,1,1,1,1,4,1,16,16,16,16,-16.53967789,-68.06652807,81432432054
2025-05-16 03:41:03,1,1,1,1,4,1,16,16,16,16,-16.53967789,-68.06652807,81432432054
2025-05-16 03:56:03,1,2,2,2,8,2,17,17,17,17,-16.53967789,-68.06652807,81432432054
2025-05-16 04:11:03,1,1,1,1,4,1,16,16,16,16,-16.53967789,-68.06652807,81432432054
2025-05-16 04:26:03,1,1,1,1,4,1,15,15,15,15,-16.53967789,-68.06652807,81432432054
2025-05-16 04:41:03,1,1,1,1,4,1,15,15,15,15,-16.53967789,-68.06652807,81432432054
2025-05-16 04:56:03,1,1,1,1,4,1,14,14,14,14,-16.53967789,-68.06652807,81432432054
2025-05-16 05:11:03,1,1,1,1,4,1,14,14,14,14,-16.53967789,-68.06652807,81432432054
2025-05-16 05:26:03,1,1,1,1,4,1,13,13,13,13,-16.53967789,-68.06652807,81432432054
2025-05-16 05:41:03,1,1,1,1,4,1,14,14,14,14,-16.53967789,-68.06652807,81432432054
